Image Filename,Detected Objects
image_15.png,"jigsaw_puzzle, container_ship, window_screen, wild_boar, scoreboard"
image_29.png,"modem, printer, laptop, computer_keyboard, remote_control"
image_28.png,"grocery_store, butcher_shop, shoe_shop, confectionery, fire_engine"
image_14.png,"monitor, screen, television, miniature_pinscher, moving_van"
image_16.png,"container_ship, boathouse, crane, paddlewheel, drilling_platform"
image_17.png,"sliding_door, streetcar, altar, vase, china_cabinet"
image_13.png,"suit, Windsor_tie, balance_beam, parallel_bars, academic_gown"
image_12.png,"military_uniform, bow_tie, suit, microphone, maraca"
image_38.png,"caldron, Dutch_oven, Crock_Pot, teapot, ladle"
image_10.png,"butcher_shop, llama, triceratops, prison, turnstile"
image_11.png,"carton, moving_van, crate, rain_barrel, toilet_tissue"
image_39.png,"apron, stole, bearskin, abaya, knot"
image_62.png,"scoreboard, street_sign, unicycle, confectionery, grocery_store"
image_63.png,"pinwheel, plunger, shield, hatchet, hammer"
image_49.png,"carton, packet, perfume, envelope, can_opener"
image_8.png,"altar, throne, palace, Christmas_stocking, doormat"
image_9.png,"pencil_box, envelope, tabby, printer, carton"
image_48.png,"carton, packet, lighter, perfume, can_opener"
image_60.png,"lab_coat, Band_Aid, Windsor_tie, suit, bow_tie"
image_58.png,"car_mirror, grille, spotlight, car_wheel, sunglasses"
image_59.png,"spider_web, peacock, doormat, leopard, velvet"
image_67.png,"nail, hook, screw, ski, plate_rack"
image_66.png,"picket_fence, crib, worm_fence, prison, turnstile"
image_43.png,"abaya, limousine, cloak, suit, fur_coat"
image_57.png,"crutch, jean, stole, abaya, bonnet"
image_2.png,"butcher_shop, llama, triceratops, prison, turnstile"
image_56.png,"groom, hair_spray, brassiere, tub, bikini"
image_3.png,"carton, moving_van, crate, rain_barrel, toilet_tissue"
image_42.png,"altar, fountain, pot, dining_table, restaurant"
image_1.png,"pencil_box, envelope, tabby, printer, carton"
image_54.png,"military_uniform, torch, bearskin, pickelhaube, stage"
image_40.png,"hook, can_opener, chain, safety_pin, analog_clock"
image_41.png,"nail, book_jacket, street_sign, sundial, matchstick"
image_55.png,"sweatshirt, bobsled, jersey, ballplayer, bulletproof_vest"
image_51.png,"nail, book_jacket, street_sign, sundial, matchstick"
image_4.png,"plastic_bag, snowplow, jersey, mosquito_net, barbershop"
image_45.png,"notebook, ice_lolly, laptop, hammer, cleaver"
image_44.png,"apron, stole, bearskin, abaya, knot"
image_50.png,"hook, can_opener, chain, safety_pin, analog_clock"
image_5.png,"military_uniform, bow_tie, suit, microphone, maraca"
image_46.png,"espresso_maker, can_opener, lighter, backpack, vacuum"
image_7.png,"restaurant, barbershop, ice_lolly, barber_chair, sunscreen"
image_52.png,"wig, jersey, lab_coat, sweatshirt, ice_lolly"
image_6.png,"plastic_bag, snowplow, jersey, mosquito_net, barbershop"
image_53.png,"ski, screwdriver, chime, hook, comic_book"
image_47.png,"pot, doormat, picket_fence, wine_bottle, Christmas_stocking"
image_20.png,"scoreboard, monitor, container_ship, television, torch"
image_34.png,"jean, ashcan, barber_chair, barbershop, barrow"
image_35.png,"half_track, printer, Polaroid_camera, chest, toaster"
image_21.png,"container_ship, monitor, jigsaw_puzzle, desk, library"
image_37.png,"suit, groom, Windsor_tie, lab_coat, pajama"
image_23.png,"jigsaw_puzzle, altar, tobacco_shop, beaker, toyshop"
image_22.png,"pier, monitor, beaker, container_ship, rule"
image_36.png,"analog_clock, digital_watch, stopwatch, magnetic_compass, combination_lock"
image_32.png,"altar, throne, palace, Christmas_stocking, doormat"
image_26.png,"suit, Windsor_tie, balance_beam, parallel_bars, academic_gown"
image_27.png,"container_ship, monitor, jigsaw_puzzle, desk, library"
image_33.png,"envelope, paper_towel, safety_pin, syringe, web_site"
image_19.png,"guillotine, bookcase, carpenter's_kit, organ, forklift"
image_25.png,"bookshop, toyshop, tobacco_shop, bookcase, wall_clock"
image_31.png,"soap_dispenser, carton, pedestal, scale, birdhouse"
image_30.png,"bullet_train, school_bus, washer, oxygen_mask, sombrero"
image_24.png,"shower_curtain, library, window_shade, theater_curtain, wardrobe"
image_18.png,"limousine, racer, beach_wagon, pickup, sports_car"
